Time,Ws_name,Message
2024-03-15 11:05:00,Tradestation WS,"Heartbeat:92, Timestamp:2024-03-15T10:05:01Z"
2024-03-15 11:05:01,Volumetrica WS,Pong: {}
2024-03-15 11:05:05,Tradestation WS,"Heartbeat:93, Timestamp:2024-03-15T10:05:06Z"
2024-03-15 11:05:06,Volumetrica WS,Pong: {}
2024-03-15 11:05:10,Tradestation WS,"Heartbeat:94, Timestamp:2024-03-15T10:05:11Z"
2024-03-15 11:05:11,Volumetrica WS,Pong: {}
2024-03-15 11:05:15,Tradestation WS,"Heartbeat:95, Timestamp:2024-03-15T10:05:16Z"
2024-03-15 11:05:16,Volumetrica WS,Pong: {}
2024-03-15 11:05:20,Tradestation WS,"Heartbeat:96, Timestamp:2024-03-15T10:05:21Z"
2024-03-15 11:05:21,Volumetrica WS,Pong: {}
2024-03-15 11:05:25,Tradestation WS,"Heartbeat:97, Timestamp:2024-03-15T10:05:26Z"
2024-03-15 11:05:26,Volumetrica WS,Pong: {}
2024-03-15 11:05:30,Tradestation WS,"Heartbeat:98, Timestamp:2024-03-15T10:05:31Z"
2024-03-15 11:05:31,Volumetrica WS,Pong: {}
2024-03-15 11:05:35,Tradestation WS,"Heartbeat:99, Timestamp:2024-03-15T10:05:36Z"
2024-03-15 11:05:36,Volumetrica WS,Pong: {}
2024-03-15 11:05:40,Tradestation WS,"Heartbeat:100, Timestamp:2024-03-15T10:05:41Z"
2024-03-15 11:05:41,Volumetrica WS,Pong: {}
2024-03-15 11:05:45,Tradestation WS,"Heartbeat:101, Timestamp:2024-03-15T10:05:46Z"
2024-03-15 11:05:46,Volumetrica WS,Pong: {}
2024-03-15 11:05:50,Tradestation WS,"Heartbeat:102, Timestamp:2024-03-15T10:05:51Z"
2024-03-15 11:05:51,Volumetrica WS,Pong: {}
2024-03-15 11:05:55,Tradestation WS,"Heartbeat:103, Timestamp:2024-03-15T10:05:56Z"
2024-03-15 11:05:56,Volumetrica WS,Pong: {}
